Verb,Reading,Verb Group,Meaning
送る,おくる,GODAN,"to send (a thing), to dispatch, to despatch, to transmit; to take or escort (a person somewhere), to see off (a person); to bid farewell (to the departed), to bury; to spend (time), to live one's life; to pass (down the line); to affix okurigana"
怒る,おこる,GODAN,"to get angry, to get mad; to tell someone off, to scold; to be angular, to be square"
払う,はらう,GODAN,"to pay (e.g. money, bill); to brush off, to wipe away, to clear away, to dust off, to cut off (e.g. branches); to drive away (e.g. one's competitors); to sell off (something unneeded), to dispose of; to pay (e.g. attention), to show (e.g. respect, concern); to make (e.g. effort, sacrifice), to expend, to exert; to move out (of one's own place), to vacate; to sweep (e.g. one's legs), to knock aside; to make a sweeping stroke (in Japanese calligraphy); to reset (an abacus)"
合う,あう,GODAN,"to come together, to merge, to unite, to meet; to fit, to match, to suit, to agree with, to be correct; to be profitable, to be equitable; to do ... to each other, to do ... together"
決める,きめる,ICHIDAN,"to decide, to choose, to determine, to make up one's mind, to resolve, to set one's heart on, to settle, to arrange, to set, to appoint, to fix; to clinch (a victory), to decide (the outcome of a match); to persist in doing, to go through with; to always do, to have made a habit of; to take for granted, to assume; to dress up, to dress to kill, to dress to the nines; to carry out successfully (a move in sports, a pose in dance, etc.), to succeed in doing; to immobilize with a double-arm lock (in sumo, judo, etc.); to eat or drink something, to take illegal drugs"
笑う,わらう,GODAN,"to laugh; to smile; to sneer, to ridicule; to be dumbfounded, to be flabbergasted"
反対する,はんたいする,SURU,"opposition, resistance, antagonism, hostility, objection, dissent; reverse, opposite, inverse, contrary"
包帯する,ほうたいする,SURU,"bandage, dressing"
喜ぶ,よろこぶ,GODAN,"to be delighted, to be glad, to be pleased; to congratulate; to gratefully accept"
迷信する,めいしんする,SURU,"superstition, superstitious belief"
約束する,やくそくする,SURU,"promise, agreement, arrangement, one's word, contract, pact, appointment, engagement, date; convention, rule; destiny, fate"
失恋する,しつれんする,SURU,"disappointed love, broken heart, unrequited love, being lovelorn"
思い出す,おもいだす,GODAN,"to recall, to remember, to recollect"
変わる,かわる,GODAN,"to change, to be transformed, to be altered, to vary; to move to; to be different, to be uncommon, to be unusual"
言う,いう,GODAN,"to say, to utter, to declare; to name, to call; to go (e.g. ""the alarm went ping""), to make a noise"
落ちる,おちる,ICHIDAN,"to fall down, to drop, to fall (e.g. rain), to sink (e.g. sun or moon), to fall onto (e.g. light or one's gaze), to be used in a certain place (e.g. money); to be omitted, to be missing; to decrease, to sink; to fail (e.g. exam or class), to lose (contest, election, etc.); to crash, to degenerate, to degrade, to fall behind; to become indecent (of a conversation); to be ruined, to go under; to fade, to come out (e.g. a stain), to come off (e.g. makeup), to be removed (e.g. illness, possessing spirit, name on a list); to fall (into someone's hands), to become someone's possession; to fall (into a trap), to fall (for a trick); to give in, to give up, to confess, to flee; to fall, to be defeated, to surrender; to come to (in the end), to end in; to fall (in love, asleep, etc.); to swoon (judo); to consent, to understand; to go down (of a website, server, etc.), to crash; to log out (of an online game, chat room, etc.), to drop out, to leave, to go offline; to die; to move to the depths"
見る,みる,ICHIDAN,"to see, to look, to watch, to view, to observe; to examine, to look over, to assess, to check, to judge; to look after, to attend to, to take care of, to keep an eye on; to experience, to meet with (misfortune, success, etc.); to try ..., to have a go at ..., to give ... a try; to see (that) ..., to find (that) ..."
省略する,しょうりゃくする,SURU,"omission, abbreviation, abridgment, abridgement"
楽しむ,たのしむ,GODAN,"to enjoy, to take pleasure in, to have a good time, to have fun; to look forward to"
利用する,りようする,SURU,"use, utilization, utilisation, application"
知る,しる,GODAN,"to know, to be aware (of), to be conscious (of), to learn (of), to find out, to discover; to sense, to feel, to notice, to realize; to understand, to comprehend, to grasp, to appreciate; to remember, to be familiar with, to be acquainted with; to experience, to go through, to know (e.g. hardship); to get acquainted with (a person), to get to know; to have to do with, to be concerned with, to be one's concern, to be one's responsibility"
間に合う,まにあう,GODAN,"to be in time (for); to serve (suit, meet) the purpose, to be good enough, to be enough, to manage, to make do"
持つ,もつ,GODAN,"to hold (in one's hand), to take, to carry; to possess, to have, to own; to maintain, to keep; to last, to be durable, to keep, to survive; to take charge of, to be in charge of; to hold (meeting, etc.), to have (opportunity, etc.); to have ""it"", to have that special something, to be blessed with good luck"
裁縫する,さいほうする,SURU,"sewing, needlework"
予定する,よていする,SURU,"plans, arrangement, schedule, program, programme, expectation, estimate"
訪ねる,たずねる,ICHIDAN,"to visit, to call on, to pay a visit to"
話す,はなす,GODAN,"to talk, to speak, to converse, to chat; to tell, to explain, to narrate, to mention, to describe, to discuss; to speak (a language)"
進む,すすむ,GODAN,"to advance, to go forward; to precede, to go ahead (of); to make progress, to improve; to deepen, to heighten; to be fast (of a clock), to be ahead; to do of one's own free will"
買う,かう,GODAN,"to buy, to purchase; to value, to have a high opinion; to stir, to provoke, to draw upon oneself"
向かう,むかう,GODAN,"to face; to go towards, to head towards"
読む,よむ,GODAN,"to read; to recite (e.g. a sutra), to chant; to predict, to guess, to forecast, to read (someone's thoughts), to see (e.g. into someone's heart), to divine; to decipher; to count, to estimate; to read (a kanji) with its native Japanese reading"
通る,とおる,GODAN,"to go by, to go past, to go along, to travel along, to pass through, to use (a road), to take (a route), to go via, to go by way of; to run (between; of a rail service, bus route, etc.), to operate (between), to connect; to go indoors, to go into a room, to be admitted, to be shown in, to be ushered in, to come in; to penetrate, to pierce, to skewer, to go through, to come through; to permeate, to soak into, to spread throughout; to carry (e.g. of a voice), to reach far; to be passed on (e.g. of a customer's order to the kitchen), to be relayed, to be conveyed; to pass (a test, a bill in the House, etc.), to be approved, to be accepted; to go by (a name), to be known as, to be accepted as, to have a reputation for; to be coherent, to be logical, to be reasonable, to be comprehensible, to be understandable, to make sense; to get across (e.g. of one's point), to be understood; to pass for, to come across as, to seem like; to be straight (e.g. wood grain); to be well-informed, to be wise; to do ... completely, to do ... thoroughly"
返事する,へんじする,SURU,"reply, answer, response"
出る,でる,ICHIDAN,"to leave, to exit, to go out, to come out, to get out; to leave (on a journey), to depart, to start out, to set out; to move forward; to come to, to get to, to lead to, to reach; to appear, to come out, to emerge, to surface, to come forth, to turn up, to be found, to be detected, to be discovered, to be exposed, to show, to be exhibited, to be on display; to appear (in print), to be published, to be announced, to be issued, to be listed, to come out; to attend, to participate, to take part, to enter (an event), to play in, to perform; to be stated, to be expressed, to come up, to be brought up, to be raised; to sell; to exceed, to go over; to stick out, to protrude; to break out, to occur, to start, to originate; to be produced; to come from, to be derived from; to be given, to get, to receive, to be offered, to be provided, to be presented, to be submitted, to be handed in, to be turned in, to be paid; to answer (phone, door, etc.), to get; to assume (an attitude), to act, to behave; to pick up (speed, etc.), to gain; to flow (e.g. tears), to run, to bleed; to graduate; to ejaculate, to cum"
勉強する,べんきょうする,SURU,"study; diligence, working hard; experience, lesson (for the future); discount, price reduction"
取る,とる,GODAN,"to take, to pick up, to grab, to catch; to pass, to hand, to give; to get, to obtain, to acquire, to win, to receive, to earn, to take (e.g. a vacation); to adopt (a method, proposal, etc.), to take (a measure, attitude, etc.), to choose; to remove, to get rid of, to take off; to take away, to steal, to rob; to eat, to have (e.g. lunch), to take (e.g. vitamins); to pick (e.g. flowers), to gather, to extract (e.g. juice), to catch (e.g. fish); to take up (time, space), to occupy, to spare, to set aside; to secure, to reserve, to save, to put aside, to keep; to take (e.g. a joke), to interpret, to understand, to make out, to grasp; to record, to take down; to subscribe to (e.g. a newspaper), to take, to buy, to get; to order, to have delivered; to charge, to fine, to take (tax); to take (e.g. a wife), to take on (e.g. an apprentice), to adopt, to accept; to compete (in sumo, cards, etc.), to play"
起こす,おこす,GODAN,"to raise up, to set up, to pick up; to wake, to wake up, to waken, to awaken; to cause, to bring about, to lead to, to trigger, to give rise to, to create, to generate (e.g. heat, electricity), to produce; to start, to begin, to launch, to establish, to found, to set up, to open; to plough, to plow, to till; to fall ill with; to transcribe, to write down (what is spoken); to turn over (a card)"
使う,つかう,GODAN,"to use (a tool, method, etc.), to make use of, to put to use; to use (a person, animal, puppet, etc.), to employ, to handle, to manage, to manipulate; to use (time, money, etc.), to spend, to consume; to use (language), to speak"
運ぶ,はこぶ,GODAN,"to carry, to transport, to move, to convey; to come, to go; to wield (a tool, etc.), to use; to go (well, etc.), to proceed, to progress"
待つ,まつ,GODAN,"to wait; to await, to look forward to, to anticipate; to depend on, to need"
盗む,ぬすむ,GODAN,"to steal; to plagiarize, to steal (a technique, idea, etc.), to watch and learn; to do stealthily; to do during scant time; to steal a base"
作る,つくる,GODAN,"to make, to produce, to manufacture, to build, to construct; to prepare (food), to brew (alcohol); to raise, to grow, to cultivate, to train; to till; to draw up (a document), to make out, to prepare, to write; to create (an artistic work, etc.), to compose; to coin (a phrase), to organize, to organise, to establish, to found; to have (a child); to make up (one's face, etc.); to fabricate (an excuse, etc.); to give a (false) appearance, to feign (a smile, etc.), to put on a show of emotion; to form (a line, etc.); to set (a record); to commit (a sin, etc.)"
残る,のこる,GODAN,"to remain, to be left"
複写する,ふくしゃする,SURU,"copying, duplication, reproduction, copy"
